,Name,Property_Type,Bedrooms,Baths,Balcony,City,Location,Total_Area,Price_per_SQFT,Price,Property Title,Area_type,Segment_type
8924,Property in  Chengalpattu,Independent House,2 BHK,3,Yes,Chennai,"Anna Nagar, Chengalpattu,Chennai",850,3690,3140000,"2 BHK Independent House for sale in Chengalpattu, Chennai",Mid sized Property,Affordable Segment
8925,Property in Iyyapa Nagar,Independent House,3 BHK,3,No,Chennai,"Iyyapa Nagar, Chennai",1200,4500,5400000,"3 BHK Independent House for sale in Iyyapa Nagar, Chennai",Mid sized Property,Affordable Segment
8926,Property in Maraimalai Nagar,Flat,1 RK,3,Yes,Chennai,"Maraimalai Nagar, Chennai",980,3540,3465000,"1 BHK Flat for sale in Maraimalai Nagar, Chennai",Mid sized Property,Affordable Segment
8927,Property in Pazhanthandalam,Flat,1 RK,2,Yes,Chennai,"Palanthandalam,Pazhanthandalam, Chennai",525,2860,1500000,"1 BHK Flat for sale in Pazhanthandalam, Chennai",Small Property,Affordable Segment
8928,Property in  Arumbakkam,Flat,3 BHK,3,No,Chennai,"Jagannatha Nagar, Arumbakkam,Chennai",900,7780,7000000,"3 BHK Flat for sale in Arumbakkam, Chennai",Mid sized Property,Mid Segment
8929,Property in  Thiruvallur,Independent House,2 BHK,3,No,Chennai,"Ma. Po. Si. Nagar, Thiruvallur,Chennai",1200,4170,5000000,"2 BHK Independent House for sale in Thiruvallur, Chennai",Mid sized Property,Affordable Segment
8930,Property in  Anakaputhur,Independent House,3 BHK,3,Yes,Chennai,"Guru Swamy Nagar, Anakaputhur,Chennai",1500,6000,9000000,"3 BHK Independent House for sale in Anakaputhur, Chennai",Mid sized Property,Mid Segment
8931,Property in Maraimalai Nagar,Villa,2 BHK,6,Yes,Chennai,"Maraimalai Nagar, Chennai",800,4630,3700000,"2 BHK Villa for sale in Maraimalai Nagar, Chennai",Small Property,Affordable Segment
8932,Property in  Triplicane,Flat,1 RK,2,Yes,Chennai,"Vasudevan Puram, Triplicane,Chennai",600,8830,5299000,"1 BHK Flat for sale in Triplicane, Chennai",Small Property,Affordable Segment
8933,Property in Guduvancheri,Independent House,1 RK,2,No,Chennai,"Guduvancheri, Chennai",600,4830,2900000,"1 BHK Independent House for sale in Guduvancheri, Chennai",Small Property,Affordable Segment
8934,Property in  Ayappakkam,Independent House,3 BHK,3,Yes,Chennai,"Annanur, Ayappakkam,Chennai",1800,5280,9500000,"3 BHK Independent House for sale in Ayappakkam, Chennai",Mid sized Property,Mid Segment
8935,Property in  Chengalpattu,Independent House,2 BHK,3,No,Chennai,"Anna Nagar, Chengalpattu,Chennai",1000,3080,3075000,"2 BHK Independent House for sale in Chengalpattu, Chennai",Mid sized Property,Affordable Segment
8936,Property in Red Hills,Independent House,2 BHK,3,No,Chennai,"Chennai ,Red Hills, Chennai",935,4810,4500000,"2 BHK Independent House for sale in Red Hills, Chennai",Mid sized Property,Affordable Segment
8937,Property in Kanathur Reddikuppam,Flat,2 BHK,2,Yes,Chennai,"Sorgam Horizon Apartment,Kanathur Reddikuppam, Chennai",600,5000,3000000,"2 BHK Flat for sale in Kanathur Reddikuppam, Chennai",Small Property,Affordable Segment
8938,Property in Choolai,Flat,2 BHK,2,Yes,Chennai,"RE Apartment,Choolai, Chennai",780,8330,6500000,"2 BHK Flat for sale in Choolai, Chennai",Small Property,Mid Segment
8939,Property in  Thiruvallur,Independent House,1 RK,3,No,Chennai,"Ma. Po. Si. Nagar, Thiruvallur,Chennai",1200,3330,4000000,"1 BHK Independent House for sale in Thiruvallur, Chennai",Mid sized Property,Affordable Segment
8940,Property in Mambakkam-Chengalpattu ,Flat,3 BHK,3,Yes,Chennai,"SBIOACC UNITY ENCLAVE ,Mambakkam-Chengalpattu , Chennai",1580,5700,9000000,"3 BHK Flat for sale in Mambakkam-Chengalpattu , Chennai",Mid sized Property,Mid Segment
8941,Property in Kanchipuram,Villa,1 RK,3,Yes,Chennai,"Kanchipuram, Chennai",800,6250,5000000,"1 RK Villa for sale in Kanchipuram, Chennai",Small Property,Affordable Segment
8942,Property in  Chengalpattu,Villa,1 RK,2,Yes,Chennai,"Anna Nagar, Chengalpattu,Chennai",400,5100,2040000,"1 BHK Villa for sale in Chengalpattu, Chennai",Small Property,Affordable Segment
8943,Property in  Thirunindravur,Independent House,2 BHK,3,No,Chennai,"Gomathipuram, Thirunindravur,Chennai",1400,3000,4200000,"2 BHK Independent House for sale in Thirunindravur, Chennai",Mid sized Property,Affordable Segment
8944,Property in Villivakkam,Independent House,3 BHK,3,No,Chennai,"Villivakkam, Chennai",1138,8000,9104000,"3 BHK Independent House for sale in Villivakkam, Chennai",Mid sized Property,Mid Segment
